ID      x-pos       y-pos      z-pos      vm    |    x-pos       y-pos      z-pos      vm    |   vm_average
4363  -1994.935791  57.882427  -13625.0  105.275246 | -1994.935791  57.882427  -13625.0  107.073273 | 106.1742595
4364  -1994.935791  57.882427  -13875.0  118.988197 | -1994.935791  57.882427  -13875.0  115.886673 | 117.437435
4365  -1994.935791  57.882427  -14125.0  111.642334 | -1994.935791  57.882427  -14125.0  110.593697 | 111.11801550000001
4366  -1994.935791  57.882427  -14375.0  110.066338 | -1994.935791  57.882427  -14375.0  106.20639 | 108.136364
4367  -1994.935791  57.882427  -14625.0  110.530899 | -1994.935791  57.882427  -14625.0  103.902565 | 107.21673200000001
4368  -1994.935791  57.882427  -14875.0  112.29921 | -1994.935791  57.882427  -14875.0  103.761276 | 108.030243
4369  -1994.935791  57.882427  -15125.0  116.283508 | -1994.935791  57.882427  -15125.0  104.994232 | 110.63887
4370  -1994.935791  57.882427  -15375.0  121.029343 | -1994.935791  57.882427  -15375.0  107.851074 | 114.4402085
4371  -1994.935791  57.882427  -15625.0  126.353142 | -1994.935791  57.882427  -15625.0  111.220924 | 118.78703300000001
4372  -1994.935791  57.882427  -15875.0  131.51796 | -1994.935791  57.882427  -15875.0  115.032738 | 123.27534899999999
4373  -1994.935791  57.882427  -16125.0  136.437988 | -1994.935791  57.882427  -16125.0  118.731163 | 127.5845755
4374  -1994.935791  57.882427  -16375.0  140.796997 | -1994.935791  57.882427  -16375.0  122.273453 | 131.535225
4375  -1994.935791  57.882427  -16625.0  144.639084 | -1994.935791  57.882427  -16625.0  125.424866 | 135.031975
4376  -1994.935791  57.882427  -16875.0  147.844009 | -1994.935791  57.882427  -16875.0  128.208374 | 138.02619149999998
4377  -1994.935791  57.882427  -17125.0  150.504761 | -1994.935791  57.882427  -17125.0  130.540146 | 140.52245349999998
4378  -1994.935791  57.882427  -17375.0  152.588989 | -1994.935791  57.882427  -17375.0  132.475464 | 142.53222649999998
4379  -1994.935791  57.882427  -17625.0  154.196533 | -1994.935791  57.882427  -17625.0  133.99823 | 144.09738149999998
4380  -1994.935791  57.882427  -17875.0  155.33287 | -1994.935791  57.882427  -17875.0  135.1707 | 145.251785
4381  -1994.935791  57.882427  -18125.0  156.086258 | -1994.935791  57.882427  -18125.0  136.00415 | 146.045204
